,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,TAIL_NUM,DEST,DEP_DELAY,CRS_ELAPSED_TIME,DISTANCE,CRS_DEP_M,DEP_TIME_M,CRS_ARR_M,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Condition,sch_dep,sch_arr,TAXI_OUT
6476,11,20,3,AA,N115NN,SFO,-5,407,2586,980,975,1207,46,30,54,NW,20,0,29.99,Mostly Cloudy,32,36,17
6482,11,20,3,AS,N457AS,SFO,-4,410,2586,995,991,1225,46,30,54,NW,20,0,29.99,Mostly Cloudy,32,36,18
6498,11,20,3,DL,N718TW,SFO,-6,404,2586,1035,1029,1259,44,31,60,NW,17,0,30.01,Mostly Cloudy,30,26,28
6507,11,20,3,AA,N102NN,SFO,-7,403,2586,1065,1058,1288,44,31,60,NW,17,0,30.01,Mostly Cloudy,30,26,19
6525,11,20,3,DL,N721TW,SFO,-5,412,2586,1135,1130,1367,44,31,60,NW,17,0,30.04,Mostly Cloudy,38,32,12
6543,11,20,3,B6,N944JT,SFO,-6,409,2586,1180,1174,1409,44,30,58,NNW,14,0,30.06,Mostly Cloudy,39,30,21
6569,11,20,3,AA,N110AN,SFO,-8,405,2586,1275,1267,60,43,30,60,NNW,16,0,30.07,Mostly Cloudy,28,32,22
6582,11,20,3,B6,N982JB,SFO,1,390,2586,1309,1310,79,43,30,60,NNW,16,0,30.07,Mostly Cloudy,28,32,14
6616,11,21,4,DL,N704X,SFO,-9,397,2586,420,411,637,39,33,79,NNE,3,0,30.2,Fair,18,20,15
6619,11,21,4,B6,N986JB,SFO,4,388,2586,410,414,618,39,33,79,NNE,3,0,30.2,Fair,18,20,21
6620,11,21,4,AS,N469AS,SFO,-5,407,2586,420,415,647,39,33,79,NNE,3,0,30.2,Fair,18,20,26
6630,11,21,4,AA,N101NN,SFO,22,401,2586,420,442,641,39,33,79,NNE,3,0,30.2,Fair,41,31,14
6662,11,21,4,DL,N713TW,SFO,-9,405,2586,495,486,720,44,33,65,N,8,0,30.21,Fair,51,20,20
6687,11,21,4,B6,N935JB,SFO,-1,397,2586,562,561,779,46,33,61,NNW,9,0,30.2,Fair,39,21,15
6689,11,21,4,AS,N287AK,SFO,-8,407,2586,570,562,797,46,33,61,NNW,9,0,30.2,Fair,39,21,35
6696,11,21,4,DL,N705TW,SFO,-9,400,2586,580,571,800,46,33,61,NNW,9,0,30.2,Fair,39,21,21
6706,11,21,4,AA,N111ZM,SFO,-6,399,2586,630,624,849,48,33,56,NW,10,0,30.19,Fair,18,23,19
6717,11,21,4,B6,N984JB,SFO,11,393,2586,659,670,872,50,33,52,NW,8,0,30.16,Fair,28,21,19
6720,11,21,4,DL,N710TW,SFO,-7,396,2586,685,678,901,50,33,52,NW,8,0,30.16,Fair,28,21,18
6724,11,21,4,AS,N296AK,SFO,-6,407,2586,690,684,917,50,33,52,NW,8,0,30.16,Fair,28,21,20
6792,11,21,4,B6,N987JT,SFO,-9,404,2586,930,921,1154,50,35,57,WSW,12,0,30.11,Mostly Cloudy,31,37,17
6805,11,21,4,DL,N707TW,SFO,-5,408,2586,955,950,1183,50,35,57,WSW,12,0,30.11,Mostly Cloudy,31,37,11
6815,11,21,4,AA,N104NN,SFO,-9,407,2586,975,966,1202,46,36,68,SW,8,0,30.1,Mostly Cloudy,34,38,22
6824,11,21,4,AS,N265AK,SFO,-3,410,2586,995,992,1225,46,36,68,SW,8,0,30.1,Mostly Cloudy,34,38,20
6848,11,21,4,DL,N712TW,SFO,26,404,2586,1035,1061,1259,47,38,71,SSW,8,0,30.1,Mostly Cloudy,33,27,23
6853,11,21,4,AA,N109NN,SFO,-8,403,2586,1079,1071,1302,48,40,74,SSW,10,0,30.09,Mostly Cloudy,33,27,19
6877,11,21,4,DL,N718TW,SFO,23,412,2586,1135,1158,1367,48,40,74,SSW,10,0,30.09,Mostly Cloudy,44,33,14
6887,11,21,4,B6,N968JT,SFO,-8,409,2586,1180,1172,1409,49,38,66,SSW,10,0,30.08,Cloudy,44,33,20
6919,11,21,4,AA,N101NN,SFO,-6,405,2586,1270,1264,55,50,39,66,SW,13,0,30.07,Cloudy,35,35,21
6922,11,21,4,DL,N704X,SFO,-1,406,2586,1270,1269,56,50,39,66,SW,13,0,30.07,Cloudy,35,35,21
6934,11,21,4,B6,N962JT,SFO,-7,390,2586,1309,1302,79,50,39,66,SW,13,0,30.07,Cloudy,35,35,13
6966,11,22,5,B6,N987JT,SFO,-8,388,2586,410,402,618,45,39,80,SSW,8,0,29.85,Mostly Cloudy,17,21,14
6971,11,22,5,AS,N266AK,SFO,-8,407,2586,420,412,647,48,41,77,SSW,12,0,29.83,Mostly Cloudy,17,21,32
6974,11,22,5,AA,N103NN,SFO,-6,401,2586,420,414,641,48,41,77,SSW,12,0,29.83,Mostly Cloudy,17,21,28
6977,11,22,5,DL,N705TW,SFO,-4,397,2586,420,416,637,48,41,77,SSW,12,0,29.83,Mostly Cloudy,17,21,34
7017,11,22,5,DL,N702TW,SFO,-6,405,2586,495,489,720,50,42,74,SSW,9,0,29.78,Mostly Cloudy,53,20,26
7041,11,22,5,B6,N942JB,SFO,-7,397,2586,562,555,779,51,42,71,WSW,8,0,29.78,Mostly Cloudy,39,20,15
7046,11,22,5,AS,N298AK,SFO,-5,407,2586,570,565,797,51,42,71,WSW,8,0,29.78,Mostly Cloudy,39,20,27
7053,11,22,5,DL,N710TW,SFO,-4,400,2586,580,576,800,51,42,71,WSW,8,0,29.78,Mostly Cloudy,39,20,19
7065,11,22,5,AA,N107NN,SFO,-7,399,2586,630,623,849,52,42,69,SW,12,0,29.74,Cloudy,17,22,13
7070,11,22,5,B6,N982JB,SFO,-7,393,2586,659,652,872,52,42,69,SW,17,0,29.71,Light Rain,17,22,14
7077,11,22,5,DL,N722TW,SFO,-6,396,2586,685,679,901,52,42,69,SW,17,0,29.71,Light Rain,29,20,14
7082,11,22,5,AS,N283AK,SFO,-6,407,2586,690,684,917,52,42,69,SW,17,0,29.71,Light Rain,29,20,22
7155,11,22,5,B6,N967JT,SFO,-6,404,2586,930,924,1154,48,38,68,NW,25,33,29.74,Mostly Cloudy / Windy,31,37,23
7167,11,22,5,DL,N721TW,SFO,-3,408,2586,955,952,1183,46,34,63,NW,15,24,29.79,Mostly Cloudy,31,37,15
7184,11,22,5,AA,N116AN,SFO,25,407,2586,975,1000,1202,46,34,63,NW,15,24,29.79,Mostly Cloudy,34,34,24
7190,11,22,5,AS,N253AK,SFO,19,410,2586,995,1014,1225,46,28,50,WNW,24,32,29.82,Partly Cloudy / Windy,34,34,29
7201,11,22,5,DL,N711ZX,SFO,2,404,2586,1035,1037,1259,46,28,50,WNW,24,32,29.82,Partly Cloudy / Windy,32,28,17
7213,11,22,5,AA,N112AN,SFO,-2,403,2586,1079,1077,1302,45,25,46,WNW,30,40,29.87,Partly Cloudy / Windy,32,28,22
7249,11,22,5,B6,N937JB,SFO,-3,409,2586,1180,1177,1409,43,25,49,WNW,16,26,29.91,Fair,45,31,32
7274,11,22,5,DL,N705TW,SFO,-7,406,2586,1270,1263,56,42,24,49,WNW,18,30,29.93,Fair,32,35,23
7275,11,22,5,AA,N103NN,SFO,-7,405,2586,1270,1263,55,42,24,49,WNW,18,30,29.93,Fair,32,35,20
7288,11,22,5,B6,N947JB,SFO,0,390,2586,1309,1309,79,42,24,49,WNW,18,30,29.93,Fair,32,35,15
7321,11,23,6,AS,N413AS,SFO,-8,407,2586,420,412,647,37,23,57,W,8,0,30.06,Fair,14,21,29
7326,11,23,6,AA,N101NN,SFO,-5,401,2586,420,415,641,37,23,57,W,8,0,30.06,Fair,14,21,29
7379,11,23,6,DL,N183DN,SFO,65,399,2586,485,550,704,40,24,53,NNW,8,0,30.06,Mostly Cloudy,40,15,23
7382,11,23,6,B6,N983JT,SFO,-7,397,2586,562,555,779,40,24,53,NNW,8,0,30.06,Mostly Cloudy,40,15,26
7391,11,23,6,AS,N237AK,SFO,-4,407,2586,570,566,797,40,24,53,NNW,8,0,30.06,Mostly Cloudy,40,15,35
7403,11,23,6,AA,N102NN,SFO,-4,399,2586,630,626,849,42,24,49,WNW,7,0,30.04,Mostly Cloudy,17,22,16
7416,11,23,6,AS,N298AK,SFO,-7,407,2586,690,683,917,44,24,45,VAR,6,0,29.99,Mostly Cloudy,25,20,24
7449,11,23,6,DL,N707TW,SFO,158,393,2586,685,843,898,44,23,43,WSW,9,0,29.94,Cloudy,26,38,8
7482,11,23,6,B6,N935JB,SFO,-6,399,2586,929,923,1148,42,26,53,SW,7,0,29.92,Cloudy,30,40,13
7492,11,23,6,DL,N713TW,SFO,-5,404,2586,955,950,1179,42,26,53,SW,7,0,29.92,Cloudy,30,40,19
7506,11,23,6,AA,N105NN,SFO,13,407,2586,975,988,1202,41,28,60,SW,7,0,29.9,Cloudy,31,32,20
7507,11,23,6,AS,N236AK,SFO,-4,410,2586,995,991,1225,41,28,60,SW,7,0,29.9,Cloudy,31,32,34
7563,11,23,6,B6,N984JB,SFO,-4,409,2586,1180,1176,1409,44,30,58,SSW,10,0,29.87,Cloudy,44,32,33
7593,11,23,6,B6,N969JT,SFO,-5,390,2586,1309,1304,79,45,30,56,SSW,8,0,29.84,Cloudy,29,24,21
7619,11,24,7,B6,N935JB,SFO,-7,388,2586,410,403,618,48,48,10,NE,14,0,29.3,Cloudy,19,19,16
7625,11,24,7,AS,N477AS,SFO,-4,407,2586,420,416,647,48,48,10,NE,14,0,29.3,Cloudy,19,19,33
7626,11,24,7,DL,N706TW,SFO,-4,397,2586,420,416,637,48,48,10,NE,14,0,29.3,Cloudy,19,19,20
7630,11,24,7,AA,N104NN,SFO,-3,401,2586,420,417,641,48,48,10,NE,14,0,29.3,Cloudy,19,19,28
7671,11,24,7,DL,N721TW,SFO,0,405,2586,495,495,720,48,48,10,NE,14,0,29.26,Cloudy,49,17,22
7690,11,24,7,B6,N968JT,SFO,-8,397,2586,562,554,779,49,49,10,N,8,0,29.23,Cloudy,37,18,15
7697,11,24,7,AS,N237AK,SFO,-1,407,2586,570,569,797,49,49,10,N,8,0,29.23,Cloudy,37,18,21
7702,11,24,7,DL,N707TW,SFO,-6,400,2586,580,574,800,49,49,10,N,8,0,29.23,Cloudy,37,18,32
7711,11,24,7,AA,N115NN,SFO,-6,399,2586,630,624,849,48,48,10,NW,12,0,29.22,Light Rain,19,21,16
7721,11,24,7,B6,N985JT,SFO,3,393,2586,659,662,872,43,43,10,NW,22,29,29.22,Light Rain / Windy,28,22,29
7724,11,24,7,DL,N711ZX,SFO,-8,396,2586,685,677,901,43,43,10,NW,22,29,29.22,Light Rain / Windy,28,22,20
7730,11,24,7,AS,N238AK,SFO,-3,407,2586,690,687,917,43,43,10,NW,22,29,29.22,Light Rain / Windy,28,22,27
7793,11,24,7,B6,N942JB,SFO,-8,399,2586,929,921,1148,42,38,85,NW,25,33,29.35,Light Rain / Windy,29,38,39
7805,11,24,7,DL,N712TW,SFO,-4,408,2586,955,951,1183,42,37,82,NW,21,29,29.4,Light Rain / Windy,29,38,20
7815,11,24,7,AA,N117AN,SFO,-2,407,2586,975,973,1202,42,37,82,NW,21,29,29.4,Light Rain / Windy,32,34,20
7818,11,24,7,AS,N479AS,SFO,-11,410,2586,995,984,1225,42,37,82,NW,21,29,29.4,Light Rain / Windy,32,34,26
7844,11,24,7,AA,N107NN,SFO,-9,403,2586,1079,1070,1302,43,36,76,WNW,18,0,29.45,Mostly Cloudy,31,29,22
7863,11,24,7,DL,N705TW,SFO,12,412,2586,1135,1147,1367,43,33,68,WNW,26,33,29.48,Partly Cloudy / Windy,40,33,29
7878,11,24,7,B6,N962JT,SFO,-6,409,2586,1180,1174,1409,43,33,68,W,24,33,29.52,Fair / Windy,40,33,35
7895,11,24,7,AA,N104NN,SFO,-3,405,2586,1270,1267,55,42,34,73,W,14,0,29.55,Fair,32,34,29
7909,11,24,7,B6,N989JT,SFO,-7,390,2586,1309,1302,79,42,34,73,W,14,0,29.55,Fair,32,34,27
7940,11,25,1,B6,N942JB,SFO,-9,388,2586,410,401,618,39,33,79,W,10,0,29.75,Mostly Cloudy,18,21,22
7950,11,25,1,DL,N723TW,SFO,-2,397,2586,420,418,637,42,35,76,W,9,0,29.8,Mostly Cloudy,18,21,20
7952,11,25,1,AS,N440AS,SFO,-1,407,2586,420,419,647,42,35,76,W,9,0,29.8,Mostly Cloudy,18,21,21
7987,11,25,1,DL,N712TW,SFO,-7,405,2586,495,488,720,45,35,68,W,8,0,29.81,Partly Cloudy,51,17,25
8011,11,25,1,B6,N945JT,SFO,-5,397,2586,562,557,779,47,36,66,WSW,7,0,29.83,Mostly Cloudy,38,18,15
8015,11,25,1,AS,N251AK,SFO,-7,407,2586,570,563,797,47,36,66,WSW,7,0,29.83,Mostly Cloudy,38,18,17
8031,11,25,1,AA,N117AN,SFO,-5,399,2586,630,625,849,50,38,63,SW,8,0,29.83,Mostly Cloudy,17,23,18
8041,11,25,1,B6,N986JB,SFO,2,393,2586,659,661,872,49,37,64,SSW,10,0,29.82,Partly Cloudy,26,20,21
8045,11,25,1,AS,N215AK,SFO,-17,407,2586,690,673,917,49,37,64,SSW,10,0,29.82,Partly Cloudy,26,20,31
8110,11,25,1,B6,N983JT,SFO,-5,399,2586,929,924,1148,50,38,63,SW,10,0,29.85,Partly Cloudy,27,31,16
8121,11,25,1,DL,N717TW,SFO,-4,408,2586,955,951,1183,44,38,79,S,8,0,29.87,Fair,27,31,21
8128,11,25,1,AA,N115NN,SFO,-4,407,2586,975,971,1202,44,38,79,S,8,0,29.87,Fair,28,37,17
8134,11,25,1,AS,N263AK,SFO,-7,410,2586,995,988,1225,44,38,79,S,8,0,29.87,Fair,28,37,22
8178,11,25,1,DL,N705TW,SFO,-4,412,2586,1135,1131,1367,45,43,93,SSW,8,0,29.9,Fair,36,31,19
8195,11,25,1,B6,N937JB,SFO,-5,409,2586,1180,1175,1409,45,44,97,S,5,0,29.91,Fair,40,31,24
8234,11,25,1,B6,N985JT,SFO,3,390,2586,1309,1312,79,44,41,89,SW,12,0,29.94,Partly Cloudy,29,31,17
8265,11,26,2,B6,N983JT,SFO,-4,388,2586,410,406,618,42,41,96,SW,3,0,29.99,Partly Cloudy,18,19,12
8266,11,26,2,AS,N402AS,SFO,-13,407,2586,420,407,647,42,41,96,SW,3,0,29.99,Partly Cloudy,18,19,24
8272,11,26,2,AA,N110AN,SFO,-8,401,2586,420,412,641,42,42,10,SSE,5,0,30.01,Mostly Cloudy,18,19,20
8281,11,26,2,DL,N721TW,SFO,0,397,2586,420,420,637,42,42,10,SSE,5,0,30.01,Mostly Cloudy,37,32,27
8336,11,26,2,B6,N988JT,SFO,-9,397,2586,562,553,779,50,44,80,SSW,6,0,30.04,Partly Cloudy,37,20,14
8347,11,26,2,DL,N722TW,SFO,-5,400,2586,580,575,800,50,44,80,SSW,6,0,30.04,Partly Cloudy,37,20,26
8358,11,26,2,AA,N113AN,SFO,-6,399,2586,630,624,849,52,42,69,SSW,6,0,30.04,Partly Cloudy,19,22,15
8362,11,26,2,B6,N977JE,SFO,-8,393,2586,659,651,872,54,41,62,S,5,0,30.03,Fair,19,22,29
8372,11,26,2,AS,N292AK,SFO,-11,407,2586,690,679,917,54,41,62,S,5,0,30.03,Fair,28,20,21
8375,11,26,2,DL,N718TW,SFO,4,396,2586,685,689,901,54,41,62,S,5,0,30.03,Fair,28,20,15
8442,11,26,2,B6,N968JT,SFO,-7,399,2586,929,922,1148,53,47,80,S,10,0,30.01,Partly Cloudy,29,35,19
8456,11,26,2,DL,N705TW,SFO,-3,408,2586,955,952,1183,50,48,93,S,10,0,30.01,Partly Cloudy,29,35,15
8463,11,26,2,AA,N116AN,SFO,-11,407,2586,975,964,1202,50,48,93,S,10,0,30.01,Partly Cloudy,29,32,15
8471,11,26,2,AS,N513AS,SFO,4,410,2586,995,999,1225,50,48,93,S,10,0,30.01,Partly Cloudy,29,32,27
8503,11,26,2,AA,N115NN,SFO,32,403,2586,1079,1111,1302,50,49,96,S,10,0,30.03,Mostly Cloudy,37,35,23
8513,11,26,2,DL,N710TW,SFO,-3,412,2586,1135,1132,1367,50,49,96,S,10,0,30.03,Mostly Cloudy,37,35,21
8533,11,26,2,B6,N969JT,SFO,1,409,2586,1180,1181,1409,48,47,96,SW,7,0,30.05,Mostly Cloudy,43,31,28
8557,11,26,2,AA,N110AN,SFO,2,405,2586,1270,1272,55,48,45,89,SSW,6,0,30.05,Mostly Cloudy,31,33,17
8572,11,26,2,B6,N961JT,SFO,-6,390,2586,1309,1303,79,48,45,89,SSW,6,0,30.05,Mostly Cloudy,31,33,24
8601,11,27,3,B6,N968JT,SFO,-4,388,2586,410,406,618,46,44,93,CALM,0,0,30.01,Cloudy,17,20,16
8606,11,27,3,DL,N722TW,SFO,-6,397,2586,420,414,637,46,45,96,ENE,3,0,30.02,Cloudy,17,20,19
8612,11,27,3,AS,N492AS,SFO,-3,407,2586,420,417,647,46,45,96,ENE,3,0,30.02,Cloudy,17,20,25
8652,11,27,3,DL,N713TW,SFO,-5,405,2586,495,490,720,47,46,97,ENE,5,0,30.0,Cloudy,51,18,21
8675,11,27,3,B6,N964JT,SFO,-10,397,2586,562,552,779,53,51,93,SE,10,0,29.92,Cloudy,39,20,23
8684,11,27,3,AS,N408AS,SFO,-2,407,2586,570,568,797,53,51,93,SE,10,0,29.92,Cloudy,39,20,30
8685,11,27,3,DL,N705TW,SFO,-7,400,2586,580,573,800,53,51,93,SE,10,0,29.92,Cloudy,39,20,30
8704,11,27,3,AA,N101NN,SFO,28,399,2586,630,658,849,56,56,10,SSE,10,0,29.89,Cloudy,18,24,31
8705,11,27,3,B6,N991JT,SFO,-1,393,2586,659,658,872,56,56,10,SSE,10,0,29.89,Cloudy,18,24,37
8720,11,27,3,DL,N706TW,SFO,18,396,2586,685,703,901,55,55,10,S,12,0,29.87,Fog,31,19,39
8727,11,27,3,AS,N409AS,SFO,29,407,2586,690,719,917,54,54,10,S,10,0,29.84,Cloudy,31,19,34
8794,11,27,3,DL,N710TW,SFO,0,408,2586,955,955,1183,53,50,89,S,22,0,29.61,Cloudy / Windy,30,35,31
8800,11,27,3,B6,N978JB,SFO,35,399,2586,929,964,1148,53,50,89,S,22,0,29.61,Cloudy / Windy,30,35,28
8844,11,27,3,DL,N703TW,SFO,-5,412,2586,1135,1130,1367,55,51,86,SW,13,0,29.58,Cloudy,38,34,25
8861,11,27,3,B6,N989JT,SFO,-7,409,2586,1180,1173,1409,54,51,90,WSW,13,0,29.57,Cloudy,42,34,33
8908,11,27,3,B6,N944JT,SFO,-1,390,2586,1309,1308,79,55,51,86,WSW,17,0,29.57,Mostly Cloudy,28,33,21
8939,11,28,4,B6,N984JB,SFO,-11,388,2586,410,399,618,46,30,54,WNW,25,33,29.71,Fair / Windy,19,18,16
8949,11,28,4,AS,N431AS,SFO,0,407,2586,420,420,647,47,33,59,NW,21,31,29.76,Mostly Cloudy / Windy,32,22,21
8975,11,28,4,DL,N712TW,SFO,-6,399,2586,495,489,714,49,33,54,WNW,21,33,29.76,Mostly Cloudy / Windy,43,16,23
8994,11,28,4,B6,N977JE,SFO,-5,397,2586,562,557,779,50,33,52,WNW,31,41,29.76,Mostly Cloudy / Windy,31,19,15
9006,11,28,4,AS,N267AK,SFO,26,407,2586,570,596,797,52,34,50,NW,31,49,29.76,Mostly Cloudy / Windy,31,19,19
9015,11,28,4,B6,N942JB,SFO,-5,393,2586,659,654,872,51,34,52,WNW,29,44,29.79,Mostly Cloudy / Windy,16,18,17
9024,11,28,4,DL,N717TW,SFO,-5,393,2586,685,680,898,51,34,52,WNW,29,44,29.79,Mostly Cloudy / Windy,20,21,24
9026,11,28,4,AS,N408AS,SFO,-8,407,2586,690,682,917,51,34,52,WNW,29,44,29.79,Mostly Cloudy / Windy,20,21,29
9063,11,28,4,B6,N988JT,SFO,-7,399,2586,929,922,1148,47,31,54,NNW,28,36,29.95,Partly Cloudy / Windy,21,34,13
9074,11,28,4,DL,N702TW,SFO,3,404,2586,955,958,1179,45,31,58,NNW,17,29,29.99,Fair,21,34,17
9085,11,28,4,AS,N238AK,SFO,6,410,2586,995,1001,1225,45,31,58,NNW,17,29,29.99,Fair,21,29,19
9115,11,28,4,DL,N706TW,SFO,-3,409,2586,1135,1132,1364,42,30,62,NNW,22,31,30.07,Fair / Windy,33,30,15
9129,11,28,4,B6,N937JB,SFO,-7,409,2586,1180,1173,1409,40,29,65,NNW,22,32,30.11,Fair / Windy,34,24,16
9154,11,28,4,B6,N929JB,SFO,0,390,2586,1309,1309,79,40,29,65,NW,22,0,30.13,Fair / Windy,20,24,13
9175,11,29,5,B6,N988JT,SFO,-5,388,2586,410,405,618,31,21,67,NNW,14,0,30.21,Fair,12,18,19
9208,11,29,5,DL,N702TW,SFO,-5,399,2586,495,490,714,32,21,64,N,20,31,30.22,Mostly Cloudy,41,17,20
9225,11,29,5,B6,N978JB,SFO,-9,397,2586,562,553,779,35,22,59,N,22,31,30.22,Mostly Cloudy / Windy,30,16,17
9228,11,29,5,AS,N282AK,SFO,-9,407,2586,570,561,797,35,22,59,N,22,31,30.22,Mostly Cloudy / Windy,30,16,23
9244,11,29,5,AA,N112AN,SFO,-9,399,2586,630,621,849,37,22,54,N,16,26,30.21,Mostly Cloudy,17,15,18
9249,11,29,5,B6,N981JT,SFO,-10,393,2586,659,649,872,37,22,54,N,16,26,30.21,Mostly Cloudy,17,15,18
9257,11,29,5,DL,N713TW,SFO,-5,393,2586,685,680,898,39,24,55,NNW,16,0,30.18,Mostly Cloudy,21,18,32
9260,11,29,5,AS,N266AK,SFO,1,407,2586,690,691,917,39,24,55,NNW,16,0,30.18,Mostly Cloudy,21,18,16
9304,11,29,5,B6,N964JT,SFO,-7,399,2586,929,922,1148,40,23,51,NW,12,0,30.13,Partly Cloudy,22,34,16
9315,11,29,5,DL,N706TW,SFO,-2,404,2586,955,953,1179,39,23,53,NNW,9,0,30.14,Partly Cloudy,22,34,19
9327,11,29,5,AS,N287AK,SFO,-6,410,2586,995,989,1225,39,23,53,NNW,9,0,30.14,Partly Cloudy,25,30,22
9364,11,29,5,DL,N717TW,SFO,-10,409,2586,1135,1125,1364,37,25,62,N,13,0,30.15,Mostly Cloudy,36,30,16
9400,11,29,5,B6,N962JT,SFO,46,409,2586,1180,1226,1409,37,24,59,N,14,0,30.13,Mostly Cloudy,21,29,16
9416,11,29,5,B6,N986JB,SFO,-5,390,2586,1309,1304,79,36,23,59,N,20,0,30.13,Cloudy,26,26,16
9438,11,30,6,AA,N103NN,SFO,-9,401,2586,420,411,641,32,21,64,N,10,0,30.09,Mostly Cloudy,16,20,16
9444,11,30,6,AS,N478AS,SFO,-4,407,2586,420,416,647,32,21,64,N,10,0,30.09,Mostly Cloudy,16,20,28
9450,11,30,6,DL,N705TW,SFO,0,397,2586,420,420,637,32,21,64,N,10,0,30.09,Mostly Cloudy,36,31,28
9505,11,30,6,B6,N969JT,SFO,-5,397,2586,562,557,779,38,18,44,N,14,0,30.09,Partly Cloudy,44,18,25
9508,11,30,6,AS,N292AK,SFO,-12,407,2586,570,558,797,38,18,44,N,14,0,30.09,Partly Cloudy,44,18,30
9517,11,30,6,DL,N703TW,SFO,-1,400,2586,580,579,800,38,18,44,N,14,0,30.09,Partly Cloudy,44,18,41
9528,11,30,6,AA,N109NN,SFO,-7,399,2586,630,623,849,39,14,36,N,15,0,30.08,Partly Cloudy,19,22,25
9544,11,30,6,DL,N702TW,SFO,-5,396,2586,685,680,901,41,13,32,N,14,0,30.05,Fair,30,19,35
9547,11,30,6,AS,N282AK,SFO,-8,407,2586,690,682,917,41,13,32,N,14,0,30.05,Fair,30,19,20
9671,11,30,6,AS,N440AS,SFO,104,410,2586,995,1099,1225,37,16,42,N,6,0,30.02,Mostly Cloudy,36,35,30
9679,11,30,6,DL,N710TW,SFO,87,404,2586,1035,1122,1259,37,16,42,N,6,0,30.02,Mostly Cloudy,36,35,20
9696,11,30,6,B6,N977JE,SFO,241,399,2586,929,1170,1148,37,17,44,N,8,0,30.02,Mostly Cloudy,46,36,36
9760,11,30,6,B6,N943JT,SFO,192,409,2586,1180,1372,1409,33,18,54,NNE,7,0,30.02,Partly Cloudy,22,31,27
9761,11,30,6,DL,N706TW,SFO,114,406,2586,1270,1384,56,33,18,54,NNE,7,0,30.02,Partly Cloudy,20,18,23
9764,11,30,6,B6,N990JL,SFO,105,390,2586,1309,1414,79,33,18,54,NNE,7,0,30.02,Partly Cloudy,20,18,17
9788,12,1,7,AA,N103NN,SFO,-3,401,2586,420,417,641,31,18,59,ENE,14,0,29.98,Mostly Cloudy,19,18,22
9793,12,1,7,AS,N468AS,SFO,0,407,2586,420,420,647,31,18,59,ENE,14,0,29.98,Mostly Cloudy,41,35,31
9794,12,1,7,B6,N987JT,SFO,-8,393,2586,428,420,641,31,18,59,ENE,14,0,29.98,Mostly Cloudy,41,35,34
9795,12,1,7,DL,N705TW,SFO,4,397,2586,420,424,637,31,18,59,ENE,14,0,29.98,Mostly Cloudy,41,35,20
9839,12,1,7,DL,N722TW,SFO,0,405,2586,495,495,720,32,20,61,ENE,13,0,29.95,Cloudy,53,20,28
9868,12,1,7,DL,N710TW,SFO,-1,400,2586,580,579,800,32,20,61,ENE,10,0,29.97,Cloudy,38,19,22
9872,12,1,7,B6,N981JT,SFO,23,397,2586,560,583,777,32,20,61,ENE,10,0,29.97,Cloudy,38,19,23
9901,12,1,7,AS,N459AS,SFO,53,407,2586,690,743,917,33,29,85,NE,13,0,29.85,Wintry Mix,23,28,35
9906,12,1,7,B6,N964JT,SFO,149,393,2586,659,808,872,33,32,96,NE,15,0,29.79,Wintry Mix,31,46,36
9923,12,1,7,DL,N712TW,SFO,216,396,2586,685,901,901,36,36,10,ENE,16,0,29.7,Light Rain,32,33,35
9963,12,1,7,B6,N978JB,SFO,149,404,2586,930,1079,1154,39,39,10,NE,17,0,29.59,Light Rain,34,32,31
9970,12,1,7,AA,N104NN,SFO,110,405,2586,1270,1380,55,40,39,97,NNE,21,32,29.49,Cloudy / Windy,21,15,34
9974,12,1,7,DL,N706TW,SFO,269,412,2586,1135,1404,1367,40,39,97,NNE,21,32,29.49,Cloudy / Windy,21,15,22
9976,12,1,7,DL,N705TW,SFO,153,406,2586,1270,1423,56,40,39,97,NNE,21,32,29.49,Cloudy / Windy,21,15,30
10005,12,2,1,AA,N111ZM,SFO,-8,401,2586,420,412,641,37,37,10,NNE,16,0,29.5,Light Rain,19,20,17
10006,12,2,1,AS,N407AS,SFO,-6,407,2586,420,414,647,37,37,10,NNE,16,0,29.5,Light Rain,19,20,22
10014,12,2,1,B6,N967JT,SFO,-7,393,2586,428,421,641,37,37,10,NNE,16,0,29.5,Light Rain,41,33,27
10015,12,2,1,DL,N712TW,SFO,5,397,2586,420,425,637,37,37,10,NNE,16,0,29.5,Light Rain,41,33,21
10063,12,2,1,DL,N722TW,SFO,16,405,2586,495,511,720,37,37,10,N,15,0,29.51,Light Rain,51,19,36
10084,12,2,1,DL,N709TW,SFO,-1,400,2586,580,579,800,37,37,10,N,14,0,29.51,Light Rain,40,19,34
10087,12,2,1,AS,N215AK,SFO,14,407,2586,570,584,797,37,37,10,N,14,0,29.51,Light Rain,40,19,18
10094,12,2,1,B6,N947JB,SFO,42,397,2586,560,602,777,37,37,10,N,12,0,29.5,Light Rain,18,26,27
10128,12,2,1,AA,N115NN,SFO,14,407,2586,975,989,1202,34,34,10,N,21,29,29.48,Wintry Mix / Windy,32,38,36
10148,12,3,2,DL,N704X,SFO,13,409,2586,420,433,649,31,27,85,N,16,0,29.53,Mostly Cloudy,39,32,28
